game_num,winner_strategy,total_turns,winner_hp,avg_gold_per_player,total_damage,total_kills,combo_points,synergy_points,rare_cards_played,copies_triggered,eliminations
77,economist,25,88,123.25,546,44,613,289,19,11,"tempo,rare_hunter,balancer,economist"
78,builder,31,23,157.5,638,63,1101,404,25,18,"tempo,rare_hunter,warrior,builder"
79,rare_hunter,31,64,158.25,559,60,974,340,19,14,"warrior,economist,builder,rare_hunter"
80,evolver,22,102,100.0,557,42,737,301,18,14,"warrior,builder,balancer,evolver"
81,builder,28,76,163.25,545,53,858,338,19,17,"economist,evolver,random,builder"
82,evolver,28,12,132.75,596,48,776,328,28,16,"balancer,random,tempo,evolver"
83,tempo,23,150,109.0,482,36,742,307,24,18,"evolver,builder,rare_hunter,tempo"
84,tempo,22,139,114.75,510,35,545,252,16,12,"economist,random,warrior,tempo"
85,evolver,29,25,133.75,626,50,733,316,27,18,"random,tempo,rare_hunter,evolver"
86,economist,26,67,123.5,586,54,791,355,24,21,"balancer,evolver,builder,economist"
87,tempo,22,150,123.5,504,35,795,292,21,13,"economist,balancer,builder,tempo"
88,builder,31,22,162.75,621,62,900,353,17,25,"evolver,balancer,random,builder"
89,evolver,35,8,162.25,627,70,1150,374,27,20,"warrior,tempo,random,evolver"
90,builder,23,150,143.0,513,37,745,298,21,17,"economist,random,evolver,builder"
91,tempo,22,150,126.75,463,33,640,274,28,13,"rare_hunter,evolver,builder,tempo"
92,warrior,22,134,107.0,526,40,539,291,15,15,"evolver,balancer,economist,warrior"
93,tempo,23,150,96.0,497,43,694,307,11,14,"rare_hunter,random,evolver,tempo"
94,evolver,27,1,143.25,617,47,842,340,20,17,"builder,balancer,economist,evolver"
95,tempo,19,150,104.5,532,26,525,232,19,6,"random,economist,rare_hunter,tempo"
96,balancer,24,128,134.75,513,39,615,314,17,22,"economist,evolver,warrior,balancer"
97,balancer,34,6,154.75,632,68,854,371,23,25,"tempo,evolver,economist,balancer"
98,balancer,32,11,129.75,623,67,875,394,22,20,"builder,rare_hunter,warrior,balancer"
99,tempo,23,114,90.25,521,34,643,253,14,10,"balancer,rare_hunter,builder,tempo"
100,economist,25,48,132.25,575,43,651,307,26,14,"random,evolver,warrior,economist"
101,rare_hunter,25,110,141.0,526,45,810,314,17,14,"builder,warrior,economist,rare_hunter"
102,tempo,22,150,131.0,477,33,789,282,21,9,"warrior,economist,builder,tempo"
103,rare_hunter,26,120,115.25,552,49,781,316,16,13,"warrior,random,builder,rare_hunter"
104,builder,19,146,88.25,498,28,530,245,8,9,"random,evolver,tempo,builder"
105,tempo,26,121,110.5,550,42,921,310,22,15,"evolver,balancer,rare_hunter,tempo"
106,balancer,27,77,142.25,552,55,744,339,21,11,"economist,rare_hunter,random,balancer"
107,evolver,31,26,130.25,662,67,1022,378,22,18,"builder,balancer,rare_hunter,evolver"
108,economist,24,96,130.25,534,47,567,316,15,19,"warrior,builder,evolver,economist"
109,warrior,25,117,110.0,514,48,665,330,19,15,"builder,balancer,evolver,warrior"
110,rare_hunter,24,73,107.5,624,54,746,290,14,11,"random,warrior,builder,rare_hunter"
111,economist,31,20,171.25,618,62,791,397,30,21,"evolver,balancer,random,economist"
112,rare_hunter,31,41,165.5,616,62,1161,395,32,15,"economist,balancer,evolver,rare_hunter"
113,tempo,25,106,113.25,512,40,710,295,25,13,"rare_hunter,evolver,warrior,tempo"
114,evolver,25,123,138.25,502,47,715,330,22,16,"builder,economist,balancer,evolver"
115,builder,22,131,91.75,535,50,575,282,14,12,"random,evolver,balancer,builder"
116,tempo,20,150,106.5,515,28,737,264,18,10,"balancer,warrior,builder,tempo"
117,balancer,29,32,118.25,614,65,1133,380,18,19,"tempo,random,builder,balancer"
118,economist,31,48,165.25,617,70,920,392,33,19,"balancer,rare_hunter,warrior,economist"
119,tempo,18,150,87.25,541,23,497,229,15,8,"builder,random,warrior,tempo"
120,tempo,29,57,110.5,560,54,936,334,15,17,"warrior,rare_hunter,builder,tempo"
121,tempo,22,144,90.5,508,44,464,283,16,14,"rare_hunter,evolver,balancer,tempo"
122,tempo,23,114,96.0,503,37,833,285,13,9,"random,balancer,builder,tempo"
123,tempo,19,150,92.0,500,25,484,244,18,9,"balancer,warrior,evolver,tempo"
124,warrior,30,51,134.75,627,60,901,391,20,27,"evolver,builder,random,warrior"
125,rare_hunter,23,121,96.0,544,45,885,314,14,13,"builder,balancer,tempo,rare_hunter"
126,balancer,23,137,96.0,526,40,732,299,13,13,"random,builder,rare_hunter,balancer"
127,warrior,28,50,174.0,591,56,736,355,27,12,"random,rare_hunter,economist,warrior"
128,builder,27,29,160.25,598,51,851,338,20,19,"evolver,economist,balancer,builder"
129,rare_hunter,31,49,137.75,616,67,862,386,21,20,"balancer,random,evolver,rare_hunter"
130,tempo,23,142,139.0,535,40,646,292,26,11,"evolver,random,economist,tempo"
131,warrior,25,90,136.75,538,50,756,339,24,15,"builder,economist,evolver,warrior"
132,evolver,29,8,153.25,681,60,739,361,30,17,"economist,warrior,builder,evolver"
133,economist,28,74,166.75,572,60,913,386,23,11,"rare_hunter,warrior,random,economist"
134,economist,28,81,136.5,587,48,1012,316,22,18,"builder,evolver,warrior,economist"
135,economist,31,72,159.0,590,59,1000,364,22,18,"evolver,tempo,rare_hunter,economist"
